trial_id,method,evaluation_index,lambda,gamma,log_lam,log_gam,objective_value,mean_return,mean_risk,stability_score
3,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.003711824916720448,0.05750000192430817,0.02687500216816791,7.634534250380272e-06
6,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037467425495214496,0.05750000128048352,0.026875000837209718,6.51411308527024e-07
7,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037486679325670963,0.057500006345006044,0.026875003786689545,2.661678119716072e-07
2,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037017069987604007,0.057499999476740296,0.026874995657423517,9.66023262657223e-06
1,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.003739421086652002,0.057499999191202494,0.02687499567516043,2.117350845926527e-06
5,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037486066640140038,0.057499996712080545,0.026874987264518518,2.831038059011944e-07
4,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.003748570439452588,0.057500000425204686,0.026874998713046477,2.865119318289795e-07
0,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037381084546693863,0.057500002009780934,0.02687500004392907,2.3786934506822964e-06
3,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.0037496842261021336,0.05749999709021861,0.0268749888368241,6.703809365533172e-08
7,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.003747695686496087,0.057499999752811684,0.026874994322405105,4.63084301077285e-07
6,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.003749967562168072,0.05749999691947383,0.026874987800166037,1.0751394736407527e-08
1,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.003731947308567893,0.05749999527326016,0.026874982788952312,3.6164773575292346e-06
2,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.003748915571100814,0.05750000028236729,0.026875000439689246,2.1676637759698622e-07
4,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.0037498068893584984,0.05749999939843092,0.026874993467511973,4.111480969558176e-08
0,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.0037496728662927237,0.05749999923585056,0.026874993545891516,6.785555496038613e-08
5,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.0037320978691418394,0.05750000478931991,0.02687500363749593,3.5799290372421993e-06
3,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.0037499972861010137,0.057500000044517566,0.026874998332474826,1.2186933799566857e-09
7,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.0037499677845126713,0.057500000207225205,0.026874999273583364,6.7751091609461194e-09
6,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.003749963475640704,0.05749999854282403,0.02687499464618702,9.15496185769371e-09
2,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.0037499969449402712,0.05750000052108323,0.026875000608514665,4.718227251662426e-10
1,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.003749963211592889,0.05750000022401565,0.026874999948109567,7.4232407253593065e-09
4,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.0037499978101746836,0.0574999986332087,0.02687499750538549,1.1624526061208169e-09
5,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.003749239187982002,0.05749998905721447,0.026874963697175867,1.6449497614674902e-07
0,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.003749969512990145,0.05749999986899218,0.026874999017064406,6.4643746447446605e-09
3,Grid Search,9,0.01,100.0,-2.0,2.0,0.003749223856414505,0.057500000243724356,0.026874998464186194,1.558917874927043e-07
7,Grid Search,9,0.01,100.0,-2.0,2.0,0.003750000107679527,0.057499999616871245,0.026874998598670274,4.6237023403483226e-10
